country,city,dsl_site_id,site,model,type,status,address,city_long,plz,lat,lon
DE,FRANKFURT,DE-DTAG-FRA003,DE_60549_GATEWAY GARDEN_07_01OG_RAUM_1.03A_DSL,METALIGHT 648,DSLAM,Live,Ellis-Road 7,Frankfurt,60549,50.05408,8.59721
DE,FRANKFURT,DE-DTAG-FRA004,DE_65929_HOSTATOSTR_25_02OG_250A_DSL,METALIGHT 2300 5U,DSLAM,Live,Hostatostr. 25,Frankfurt,65929,50.10097,8.5448
DE,FRANKFURT,DE-DTAG-FRA013,DE_60326_LAHNSTR_56_02OG_RAUM202_DSL,METALIGHT 2300 5U,DSLAM,Live,Lahnstr. 56,Frankfurt,60326,50.10135,8.63614
DE,FRANKFURT,DE-DTAG-FRA016,DE_60314_DIESELSTRASSE_50_01OG_RAUM 101_DSL,METALIGHT 2300 5U,DSLAM,Live,Dieselstr. 50,Frankfurt,60314,50.12314,8.74583
DE,FRANKFURT,DE-DTAG-FRA017,DE_60385_HABSBURGERALLEE_76_01UG_DSL_K08,METALIGHT 2300 5U,DSLAM,Live,Habsburgerallee 76,Frankfurt,60385,50.11806,8.70671
DE,FRANKFURT,DE-DTAG-FRA019,DE_60313_GROSSE ESCHENHEIMERSTRASSE_10_01_102B_DSL,METALIGHT 2300 5U,DSLAM,Live,Gro¤e Eschenheimer Str. 12 -14,Frankfurt,60313,50.11495,8.68065
DE,FRANKFURT,DE-DTAG-FRA020,DE_60437_BERNERSTRASSE_9_EG_RAUME02_DSL,METALIGHT 2300 5U,DSLAM,Live,Berner Str. 9,Frankfurt,60437,50.19274,8.66466
DE,FRANKFURT,DE-DTAG-FRA021,DE_60322_FURSTENBERGERSTRASSE_3-9_01OG_R.100B_DSL,METALIGHT 2300 5U,DSLAM,Live,FÙrstenbergerstr. 3 -9,Frankfurt,60322,50.12572,8.68079
DE,FRANKFURT,DE-DTAG-FRA022,DE_60320_HANSAALLEE_160_01OG_RAUM21A_DSL,METALIGHT 648,DSLAM,Live,Hansaallee 160,Frankfurt,60320,50.13733,8.6682
DE,FRANKFURT,DE-DTAG-FRA023,DE_60594_DIESTERWEGSTRASSE_34_03OG_R.311A_DSL,METALIGHT 1300 6U,DSLAM,Live,Diesterwegstr. 34,Frankfurt,60594,50.09972,8.68449
DE,FRANKFURT,DE-DTAG-FRA024,DE_60528_SAONESTR_12_EG_RAUM E05A_DSL,METALIGHT 2300 5U,DSLAM,Live,Saonestr. 12,Frankfurt,60528,50.08215,8.63106
DE,FRANKFURT,DE-DTAG-FRA027,DE_60325_NIEDENAU_84-86_02OG_RAUM209_DSL,METALIGHT 2300 5U,DSLAM,Live,Niedenau 84 -86,Frankfurt,60325,50.11624,8.66708
DE,FRANKFURT,DE-DTAG-FRA028,DE_65933_MAINZER LANDSTRASSE_563-565_RAUM104A_DSL,METALIGHT 648,DSLAM,Live,Mainzer Landstr. 565,Frankfurt,65933,50.09949,8.60144
DE,FRANKFURT,DE-DTAG-FRA030,DE_60488_LUDWIG-LANDMANN STR_88A_01OG_RAUM010_DSL,METALIGHT 2300 5U,DSLAM,Live,Ludwig-Landmann-Str. 88 A,Frankfurt,60488,50.14119,8.60921
DE,FRANKFURT,DE-DTAG-FRA032,DE_60489_THUDICHUMSTR_38A_EG_RAUM E07A_DSL,METALIGHT 1300 6U,DSLAM,Live,Thudichumstr. 38,Frankfurt,60489,50.12762,8.61523
DE,FRANKFURT,DE-DTAG-FRA033,DE_60329_GUTLEUTSTRASSE_34-36_EG_RAUM_E29_DSL,METALIGHT 2300 5U,DSLAM,Live,Gutleutstr. 34 -36,Frankfurt,60329,50.1064,8.66834
DE,FRANKFURT,DE-DTAG-FRA035,DE_60598_MORFELDER LANDSTRASSE_173_01OG_R.103_DSL,METALIGHT 2300 5U,DSLAM,Live,M_rfelder Landstr. 173,Frankfurt,60598,50.09353,8.67884
DE,ESCHBORN,DE-DTAG-FRA037,DE_65760_ALFRED-HERRHAUSEN-ALLEE_7_01UG_R.09_DSL,METALIGHT 1300 6U,DSLAM,Live,Alfred-Herrhausen-Allee 7,Eschborn,65760,50.13374,8.57514
DE,SCHWALBACH,DE-DTAG-FRA038,DE_65824_ADOLF-DAMASCHKE-STRASSE_2_EG_E02_DSL,METALIGHT 2300 5U,DSLAM,Live,Adolf-Damaschke-Str. 2,Schwalbach,65824,50.15577,8.52821
DE,SULZBACH,DE-DTAG-FRA039,DE_65843_AM HOLZWEG_16_EG_RAUM E02_DSL,METALIGHT 2300 5U,DSLAM,Live,Am Holzweg 16,Sulzbach,65843,50.13018,8.52662
DE,BAD SODEN,DE-DTAG-FRA040,DE_65812_KONIGSTEINERSTRASSE_56A_01OG_COLO_DSL,METALIGHT 2300 5U,DSLAM,Live,Soden K_nigsteiner Str. 56,Bad,65812,50.14214,8.50442
DE,OBERURSEL,DE-DTAG-FRA041,DE_61440_KARLSBADER STRASSE_22_EG_RAUM E02_DSL,METALIGHT 2300 5U,DSLAM,Live,Karlsbader Str. 22,Oberursel (Taunus) ,61440,50.17956,8.58999
DE,OBERURSEL,DE-DTAG-FRA042,DE_61440_OBERHOECHSTAEDTERSTRASSE_5_EG_COLO_DSL,METALIGHT 628,DSLAM,Live,Oberh_chstadter Str. 5,Oberursel (Taunus) ,61440,50.20056,8.58127
DE,BAD HOMBURG,DE-DTAG-FRA044,DE_61352_ERLENWEG_2_01OG_RAUM 002_DSL,METALIGHT 2300 5U,DSLAM,Live,Erlenweg 2 -4,Bad Homburg ,61352,50.21952,8.63197
DE,KELSTERBACH,DE-DTAG-FRA049,DE_65451_LANGER KORNWEG_32_COLO_DSL,METALIGHT 2300 5U,DSLAM,Live,Langer Kornweg 32 A,Kelsterbach,65451,50.05568,8.51983
DE,Oberursel (Taunus) ,DE-DTAG-FRA043,,,,,Marxstr. 47,Oberursel (Taunus) ,61440,50.20907,8.57195